296,328,7772.77,7946.2
花自芳,2,-1100.57,-2262.53,null
花芳官,2,-995.712,-1500.26,null
花袭人,2,-1117.82,-1974.56,../SocialNetworkAnalist/img/hxr.png
芳官,2,-1132.82,-3131.5,null
茄官,3,286.832,3321.65,null
茜雪,2,-1354.35,-927.065,null
莲花儿,2,2428.13,2101.06,null
莺儿,7,-2024.34,566.015,null
葵官,4,3318.78,-1363.39,null
蒋玉菡,2,-780.14,-1195.32,null
蕊官,2,-2344.37,320.598,null
薛公,5,-2838.48,1263.78,null
薛公之孙,5,-2722.59,699.738,null
薛姨妈,5,-2352.1,803.711,null
薛宝琴,5,-2216.96,2532.49,null
薛宝琴母,5,-2158.93,2029.08,null
薛宝琴父,5,-2090.31,1827.43,null
薛宝钗,5,-1880.48,434.437,../SocialNetworkAnalist/img/xbc.png
薛蝌,5,-1421.01,1405.72,null
薛蟠,5,-3342.85,410.004,null
藕官,2,-191.779,-2413.34,null
花袭人之母,7,-1273.91,-2258.01,null
许氏,3,-622.035,1877.74,null
费婆子,2,1476.81,1773.15,null
贾代儒,2,-1995.53,-1541.26,null
贾代化,3,835.41,870.258,null
贾代善,2,1421.18,-203.386,null
贾元春,2,1548.67,-1907.14,../SocialNetworkAnalist/img/jyc.png
贾兰,2,1339.13,-2532.74,null
贾宝玉,2,-956.168,-1040.71,../SocialNetworkAnalist/img/jby.png
贾巧姐,2,-251.179,2989.53,null
贾惜春,3,672.872,376.754,../SocialNetworkAnalist/img/jxc.png
贾探春,2,514.1,-2272.45,../SocialNetworkAnalist/img/jtc.png
贾政,2,602.051,-1245.28,../SocialNetworkAnalist/img/jz.png
贾敏,2,1281.51,-746.593,null
贾敬,3,521.166,979.975,../SocialNetworkAnalist/img/jj.png
贾敷,3,924.291,1037.43,null
贾桂,2,-562.472,-1195.14,null
贾母,4,2142.3,-141.932,../SocialNetworkAnalist/img/jm.png
贾源,2,1390.45,169.833,null
贾演,3,1027.45,578.057,null
贾环,2,1048.34,-1150.43,null
贾珍,3,-165.336,1530.72,../SocialNetworkAnalist/img/jzhen.png
贾珠,2,1086.18,-2288.92,null
贾琏,2,401.916,2295.74,../SocialNetworkAnalist/img/jl.png
贾琮,2,2117.55,1384.58,null
贾琮奶妈,2,2339.47,1474.79,null
贾瑞,7,-2858.88,-2112.75,null
贾瑞之母,7,-2950.66,-1938.7,null
贾瑞之父,7,-2682.47,-1892.22,null
贾璜,7,-1365.35,2028.71,null
贾菌,7,1847.81,312.447,null
贾蓉,3,-533.721,1702.63,../SocialNetworkAnalist/img/jr.png
贾蔷,3,503.509,646.619,null
贾赦,2,1647.58,1189.75,../SocialNetworkAnalist/img/js.png
